"","forcedchoice","fox","msnbc","entertainment","med_pref","med_choice","actions_discuss","fair_4","friendly_4","good_4","quarrel_4","balanced_4","oneside_4","american_4","accurate_4","party1","party4"
"282",1,1,NA,NA,2,NA,2,4,3,3,5,6,5,3,5,1,NA
"283",1,NA,1,NA,1,NA,1,2,2,3,4,3,4,3,4,3,2
"284",1,NA,NA,1,3,NA,7,4,1,5,6,2,2,4,3,3,3
"285",1,NA,1,NA,2,NA,1,1,3,1,4,3,4,1,1,1,NA
"286",0,NA,NA,NA,4,4,4,2,1,2,4,1,4,4,3,4,3
"287",0,NA,NA,NA,1,1,1,1,5,1,3,1,7,1,1,2,NA
"288",0,NA,NA,NA,4,4,3,4,4,4,4,4,4,3,4,2,NA
"289",0,NA,NA,NA,4,4,3,4,4,3,4,4,4,4,4,3,3
"290",0,NA,NA,NA,3,4,3,2,1,2,6,2,6,2,1,1,NA
"291",1,NA,NA,1,1,NA,3,3,3,3,5,5,4,3,3,2,NA
"292",1,NA,1,NA,4,NA,2,2,3,3,4,3,5,3,2,4,2
"293",0,NA,NA,NA,1,1,1,1,3,1,4,3,5,1,1,2,NA
"294",0,NA,NA,NA,1,1,2,3,4,3,5,3,5,3,3,2,NA
"295",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296",0,NA,NA,NA,4,4,4,3,3,3,5,3,5,3,4,1,NA
"297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298",0,NA,NA,NA,1,1,4,4,4,4,4,4,4,4,4,2,NA
"299",1,NA,1,NA,4,NA,4,7,6,6,6,6,2,3,5,1,NA
"300",0,NA,NA,NA,1,4,4,3,2,3,7,3,4,4,3,3,3
"301",0,NA,NA,NA,1,1,3,1,1,1,4,1,4,1,1,3,1
"302",0,NA,NA,NA,2,2,3,3,3,1,3,5,3,1,3,1,NA
"303",1,1,NA,NA,2,NA,4,3,3,3,4,4,4,3,3,1,NA
"304",0,NA,NA,NA,1,1,3,5,4,5,3,5,3,5,4,3,3
"305",1,NA,NA,1,4,NA,3,3,3,5,4,5,4,4,2,2,NA
"306",1,NA,1,NA,4,NA,4,4,4,4,3,5,3,3,4,2,NA
"307",0,NA,NA,NA,1,1,2,3,5,3,5,3,5,3,3,2,NA
"308",1,NA,NA,1,1,NA,4,3,3,4,5,2,5,3,3,3,3
"309",1,1,NA,NA,4,NA,1,4,3,2,4,2,4,1,1,3,3
"310",1,1,NA,NA,4,NA,3,4,4,4,4,4,4,4,4,1,NA
"311",0,NA,NA,NA,2,2,4,4,4,4,4,3,5,4,4,3,2
"312",0,NA,NA,NA,3,3,3,3,3,3,5,3,4,5,3,1,NA
"313",1,NA,NA,1,4,NA,1,5,3,3,5,2,5,1,2,3,2
"314",0,NA,NA,NA,4,4,2,4,3,2,4,3,5,3,3,1,NA
"315",1,NA,1,NA,4,NA,1,2,2,2,2,3,3,2,2,1,NA
"316",1,NA,1,NA,1,NA,2,3,3,3,5,5,3,3,3,1,NA
"317",1,1,NA,NA,2,NA,3,4,4,4,3,4,4,3,4,1,NA
"318",1,NA,1,NA,2,NA,1,1,1,1,1,1,1,1,1,1,NA
"319",1,NA,1,NA,1,NA,4,4,4,4,4,4,4,4,4,1,NA
"320",0,NA,NA,NA,2,2,1,1,2,1,3,2,1,1,2,1,NA
"321",1,NA,NA,1,1,NA,4,4,4,3,4,4,4,4,4,1,NA
"322",0,NA,NA,NA,4,4,4,3,4,2,4,2,5,2,3,1,NA
"323",1,NA,1,NA,4,NA,1,5,4,3,4,4,5,4,4,1,NA
"324",1,NA,NA,1,4,NA,1,1,1,1,1,1,1,1,1,2,NA
"325",1,1,NA,NA,1,NA,4,1,2,1,6,1,7,1,2,2,NA
"326",0,NA,NA,NA,4,4,7,4,3,3,6,4,5,4,2,2,NA
"327",1,1,NA,NA,3,NA,3,2,5,5,5,2,7,2,1,1,NA
"328",0,NA,NA,NA,3,3,4,4,3,4,4,4,4,5,4,1,NA
"329",0,NA,NA,NA,4,4,4,4,4,3,4,2,4,3,3,1,NA
"330",1,NA,1,NA,1,NA,4,5,5,4,3,5,3,5,5,2,NA
"331",0,NA,NA,NA,3,4,1,1,2,1,1,1,2,2,2,1,NA
"332",1,NA,NA,1,1,NA,3,4,3,4,3,4,4,3,3,1,NA
